Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured 
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-23 20:34:00,2021-07-23 23:59:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-23 20:34:00,2021-07-23 23:59:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage II Manual JIG 9.2,RF0120,Variant 2,2021-07-23 20:57:00,2021-07-24 00:29:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-24 00:14:00,2021-07-24 00:35:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-23 22:07:00,2021-07-24 01:07:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-24 00:50:00,2021-07-24 01:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-23 21:57:00,2021-07-24 01:16:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,Variant 2,2021-07-23 19:49:00,2021-07-24 01:30:00,['Underframe frame work'],['Underframe frame work'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-24 01:30:00,2021-07-24 01:31:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 2,2021-07-24 01:31:00,2021-07-24 01:48:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,Variant 2,2021-07-24 02:03:00,2021-07-24 02:05:00,['Output LHB END Wall'],['End wall Complete'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,Variant 1,2021-07-23 18:00:00,2021-07-24 02:13:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],6
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 2,2021-07-24 00:03:00,2021-07-24 02:32:00,['E'],['Roof Complete'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,Variant 2,2021-07-23 20:33:00,2021-07-24 02:54:00,['Trough Sheets'],['Trough Sheets'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,Variant 2,2021-07-23 19:21:00,2021-07-24 02:58:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 2,2021-07-24 00:01:00,2021-07-24 03:16:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 2,2021-07-24 01:46:00,2021-07-24 03:23:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 2,2021-07-24 00:01:00,2021-07-24 03:25:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 2,2021-07-24 00:09:00,2021-07-24 03:35:00,"['C', 'D']",['E'],0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-24 00:14:00,2021-07-24 03:39:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-24 00:14:00,2021-07-24 03:39:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 2,2021-07-24 00:44:00,2021-07-24 03:41:00,['C'],['C'],0
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-24 03:54:00,2021-07-24 04:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Manual JIG 9.2,RF0120,Variant 2,2021-07-24 00:44:00,2021-07-24 04:16:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-24 01:22:00,2021-07-24 04:22:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 2,2021-07-23 23:52:00,2021-07-24 04:23:00,['Underframe frame work'],['Underframe frame work'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-24 01:31:00,2021-07-24 04:50:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-24 04:30:00,2021-07-24 04:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 2,2021-07-23 23:52:00,2021-07-24 05:01:00,['Underframe frame work'],['Underframe frame work'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-24 05:10:00,2021-07-24 05:11:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 2,2021-07-24 05:05:00,2021-07-24 05:22:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,Variant 1,2021-07-23 22:28:00,2021-07-24 05:25:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],6
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,Variant 1,2021-07-23 21:28:00,2021-07-24 05:28:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],6
Stage III Manual Repair stand,EW0130,Variant 2,2021-07-24 05:37:00,2021-07-24 05:39:00,['Output LHB END Wall'],['End wall Complete'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,Variant 1,2021-07-24 05:40:00,2021-07-24 05:41:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],6
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 2,2021-07-24 03:50:00,2021-07-24 06:19:00,['E'],['Roof Complete'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,Variant 1,2021-07-24 02:28:00,2021-07-24 06:41:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],6
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 2,2021-07-24 03:40:00,2021-07-24 06:55:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 2,2021-07-24 05:26:00,2021-07-24 07:03:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 2,2021-07-24 03:40:00,2021-07-24 07:04:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-24 03:54:00,2021-07-24 07:19:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-24 03:54:00,2021-07-24 07:19:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 2,2021-07-24 03:56:00,2021-07-24 07:22:00,"['C', 'D']",['E'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,Variant 2,2021-07-24 01:45:00,2021-07-24 07:26:00,['Underframe frame work'],['Underframe frame work'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 2,2021-07-24 04:31:00,2021-07-24 07:28:00,['C'],['C'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-24 04:37:00,2021-07-24 07:37:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-II Final Repair & Leakage testing,SH0120,Variant 1,2021-07-24 05:43:00,2021-07-24 07:43:00,['Shell Assembly'],['Coach'],7
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-24 07:34:00,2021-07-24 07:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Manual JIG 9.2,RF0120,Variant 2,2021-07-24 04:31:00,2021-07-24 08:03:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-24 05:05:00,2021-07-24 08:24:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-24 08:10:00,2021-07-24 08:35:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-24 08:50:00,2021-07-24 08:51:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 2,2021-07-24 08:39:00,2021-07-24 08:56:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,Variant 2,2021-07-24 09:11:00,2021-07-24 09:13:00,['Output LHB END Wall'],['End wall Complete'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,Variant 2,2021-07-24 03:09:00,2021-07-24 09:30:00,['Trough Sheets'],['Trough Sheets'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 2,2021-07-24 05:16:00,2021-07-24 09:47:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 2,2021-07-24 07:37:00,2021-07-24 10:06:00,['E'],['Roof Complete'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 2,2021-07-24 05:16:00,2021-07-24 10:25:00,['Underframe frame work'],['Underframe frame work'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 2,2021-07-24 07:19:00,2021-07-24 10:34:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,Variant 1,2021-07-24 02:28:00,2021-07-24 10:41:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],7
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 2,2021-07-24 07:19:00,2021-07-24 10:43:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 2,2021-07-24 09:06:00,2021-07-24 10:43:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,Variant 2,2021-07-24 03:13:00,2021-07-24 10:50:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-24 07:52:00,2021-07-24 10:52:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-24 07:34:00,2021-07-24 10:59:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-24 07:34:00,2021-07-24 10:59:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 2,2021-07-24 07:43:00,2021-07-24 11:09:00,"['C', 'D']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 2,2021-07-24 08:18:00,2021-07-24 11:15:00,['C'],['C'],0
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-24 11:14:00,2021-07-24 11:35:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Manual JIG 9.2,RF0120,Variant 2,2021-07-24 08:18:00,2021-07-24 11:50:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-24 08:39:00,2021-07-24 11:58:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-24 11:50:00,2021-07-24 12:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 2,2021-07-24 12:13:00,2021-07-24 12:30:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-24 12:30:00,2021-07-24 12:31:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Manual Repair stand,EW0130,Variant 2,2021-07-24 12:45:00,2021-07-24 12:47:00,['Output LHB END Wall'],['End wall Complete'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,Variant 2,2021-07-24 07:41:00,2021-07-24 13:22:00,['Underframe frame work'],['Underframe frame work'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,Variant 1,2021-07-24 06:56:00,2021-07-24 13:53:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],7
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 2,2021-07-24 11:24:00,2021-07-24 13:53:00,['E'],['Roof Complete'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,Variant 1,2021-07-24 05:56:00,2021-07-24 13:56:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],7
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-24 11:07:00,2021-07-24 14:07:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,Variant 1,2021-07-24 14:08:00,2021-07-24 14:09:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],7
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 2,2021-07-24 10:58:00,2021-07-24 14:13:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 2,2021-07-24 10:58:00,2021-07-24 14:22:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 2,2021-07-24 12:46:00,2021-07-24 14:23:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-24 11:14:00,2021-07-24 14:39:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-24 11:14:00,2021-07-24 14:39:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 2,2021-07-24 11:30:00,2021-07-24 14:56:00,"['C', 'D']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 2,2021-07-24 12:05:00,2021-07-24 15:02:00,['C'],['C'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,Variant 1,2021-07-24 10:56:00,2021-07-24 15:09:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],7
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 2,2021-07-24 10:40:00,2021-07-24 15:11:00,['Underframe frame work'],['Underframe frame work'],0
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-24 14:54:00,2021-07-24 15:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-24 12:13:00,2021-07-24 15:32:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage II Manual JIG 9.2,RF0120,Variant 2,2021-07-24 12:05:00,2021-07-24 15:37:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 2,2021-07-24 10:40:00,2021-07-24 15:49:00,['Underframe frame work'],['Underframe frame work'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-24 15:30:00,2021-07-24 15:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 2,2021-07-24 15:47:00,2021-07-24 16:04:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,Variant 2,2021-07-24 09:45:00,2021-07-24 16:06:00,['Trough Sheets'],['Trough Sheets'],0
Stage-II Final Repair & Leakage testing,SH0120,Variant 1,2021-07-24 14:11:00,2021-07-24 16:11:00,['Shell Assembly'],['Coach'],8
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-24 16:10:00,2021-07-24 16:11:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Manual Repair stand,EW0130,Variant 2,2021-07-24 16:19:00,2021-07-24 16:21:00,['Output LHB END Wall'],['End wall Complete'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-24 14:22:00,2021-07-24 17:22:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,Variant 2,2021-07-24 10:56:00,2021-07-24 17:31:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 2,2021-07-24 15:11:00,2021-07-24 17:40:00,['E'],['Roof Complete'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 2,2021-07-24 14:37:00,2021-07-24 17:52:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 2,2021-07-24 14:37:00,2021-07-24 18:01:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 2,2021-07-24 16:26:00,2021-07-24 18:03:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 2,2021-07-24 14:54:00,2021-07-24 18:19:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 2,2021-07-24 14:54:00,2021-07-24 18:19:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,Variant 2,2021-07-24 11:05:00,2021-07-24 18:42:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 2,2021-07-24 15:17:00,2021-07-24 18:43:00,"['C', 'D']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 2,2021-07-24 15:52:00,2021-07-24 18:49:00,['C'],['C'],0
Stage-II Robotic Spot Welding,SW0120,Variant 2,2021-07-24 18:34:00,2021-07-24 18:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 2,2021-07-24 15:47:00,2021-07-24 19:06:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,Variant 2,2021-07-24 13:37:00,2021-07-24 19:18:00,['Underframe frame work'],['Underframe frame work'],0
Stage II Manual JIG 9.2,RF0120,Variant 2,2021-07-24 15:52:00,2021-07-24 19:24:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 2,2021-07-24 19:10:00,2021-07-24 19:35:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 2,2021-07-24 19:21:00,2021-07-24 19:38:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 2,2021-07-24 19:50:00,2021-07-24 19:51:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Manual Repair stand,EW0130,Variant 2,2021-07-24 19:53:00,2021-07-24 19:55:00,['Output LHB END Wall'],['End wall Complete'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 2,2021-07-24 16:04:00,2021-07-24 20:35:00,['Underframe frame work'],['Underframe frame work'],0
Stage I Machine- B&C machine,RF0110,Variant 2,2021-07-24 17:37:00,2021-07-24 20:37:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 2,2021-07-24 16:04:00,2021-07-24 21:13:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 2,2021-07-24 18:58:00,2021-07-24 21:27:00,['E'],['Roof Complete'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 2,2021-07-24 18:16:00,2021-07-24 21:31:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
